"Time","Arroyo TECSource {name=""Chamber Temp""}","3458A {name=""Vz""}","value {host=""b6af97171031"", name=""Ambient_Temp"", sensor=""SCD41"", topic=""lab_sensors/SCD41""}","value {host=""b6af97171031"", name=""Ambient_Temp"", sensor=""TMP117"", topic=""lab_sensors/TMP117""}"
2024-11-07 23:52:00,,,17.7600000,20.1550000
2024-11-07 23:52:10,,,17.7500000,20.1500000
2024-11-07 23:52:20,,,17.7750000,20.1550000
2024-11-07 23:52:30,,,17.7800000,20.1600000
2024-11-07 23:52:40,,,17.7850000,20.1600000
2024-11-07 23:52:50,,,17.7800000,20.1600000
2024-11-07 23:53:00,,,17.7733333,20.1600000
2024-11-07 23:53:10,,,17.7650000,20.1600000
2024-11-07 23:53:20,,,17.7800000,20.1600000
2024-11-07 23:53:30,,,17.7600000,20.1600000
2024-11-07 23:53:40,,,17.7700000,20.1600000
2024-11-07 23:53:50,,,17.7600000,20.1600000
2024-11-07 23:54:00,,,17.7500000,20.1600000
2024-11-07 23:54:10,,,17.7550000,20.1600000
2024-11-07 23:54:20,,,17.7650000,20.1600000
2024-11-07 23:54:30,,,17.7533333,20.1650000
2024-11-07 23:54:40,,,17.7300000,20.1700000
2024-11-07 23:54:50,,,17.7450000,20.1700000
2024-11-07 23:55:00,,,17.7400000,20.1700000
2024-11-07 23:55:10,,,17.7300000,20.1700000
2024-11-07 23:55:20,,,17.7300000,20.1700000
2024-11-07 23:55:30,,,17.7100000,20.1700000
2024-11-07 23:55:40,,,17.7300000,20.1750000
2024-11-07 23:55:50,,,17.7166667,20.1750000
2024-11-07 23:55:59,22.9980000,,,
2024-11-07 23:56:00,,,17.7000000,20.1750000
2024-11-07 23:56:09,,10.4703969,,
2024-11-07 23:56:09,22.9980000,,,
2024-11-07 23:56:10,,,17.7100000,20.1800000
2024-11-07 23:56:19,22.9980000,,,
2024-11-07 23:56:20,,,17.7200000,20.1700000
2024-11-07 23:56:29,,10.4703971,,
2024-11-07 23:56:29,22.9980000,,,
2024-11-07 23:56:30,,,17.7050000,20.1700000
2024-11-07 23:56:39,22.9980000,,,
2024-11-07 23:56:40,,,17.7150000,20.1700000
2024-11-07 23:56:49,,10.4703971,,
2024-11-07 23:56:49,22.9980000,,,
2024-11-07 23:56:50,,,17.7150000,20.1700000
2024-11-07 23:56:59,22.9980000,,,
2024-11-07 23:57:00,,,17.6950000,20.1650000
2024-11-07 23:57:09,,10.4704018,,
2024-11-07 23:57:09,22.9980000,,,
2024-11-07 23:57:10,,,17.7000000,20.1600000
2024-11-07 23:57:19,22.9980000,,,
2024-11-07 23:57:20,,,17.6966667,20.1650000
2024-11-07 23:57:29,,10.4704067,,
2024-11-07 23:57:29,22.9970000,,,
2024-11-07 23:57:30,,,17.7050000,20.1700000
2024-11-07 23:57:39,22.9980000,,,
2024-11-07 23:57:40,,,17.7100000,20.1600000
2024-11-07 23:57:49,,10.4704060,,
2024-11-07 23:57:49,22.9980000,,,
2024-11-07 23:57:50,,,17.7100000,20.1600000
2024-11-07 23:57:59,22.9980000,,,
2024-11-07 23:58:00,,,17.6950000,20.1600000
2024-11-07 23:58:09,,10.4704044,,
2024-11-07 23:58:09,22.9980000,,,
2024-11-07 23:58:10,,,17.7050000,20.1650000
2024-11-07 23:58:19,22.9980000,,,
2024-11-07 23:58:20,,,17.7050000,20.1600000
2024-11-07 23:58:29,,10.4704016,,
2024-11-07 23:58:29,22.9970000,,,
2024-11-07 23:58:30,,,17.7100000,20.1600000
2024-11-07 23:58:39,22.9980000,,,
2024-11-07 23:58:40,,,17.7000000,20.1600000
2024-11-07 23:58:49,,10.4704041,,
2024-11-07 23:58:49,22.9980000,,,
2024-11-07 23:58:50,,,17.6950000,20.1600000
2024-11-07 23:58:59,22.9980000,,,
2024-11-07 23:59:00,,,17.6950000,20.1600000
2024-11-07 23:59:09,,10.4704027,,
2024-11-07 23:59:09,22.9980000,,,
2024-11-07 23:59:10,,,17.7000000,20.1600000
2024-11-07 23:59:20,,,17.7050000,20.1550000
2024-11-07 23:59:30,,,17.6950000,20.1600000
2024-11-07 23:59:40,,,17.6850000,20.1600000
2024-11-07 23:59:50,,,17.6850000,20.1600000
2024-11-08 00:00:00,,,17.6950000,20.1500000
2024-11-08 00:00:10,,,17.6766667,20.1550000
2024-11-08 00:00:20,,,17.6900000,20.1550000
2024-11-08 00:00:30,,,17.6900000,20.1600000
2024-11-08 00:00:40,,,17.6800000,20.1600000
2024-11-08 00:00:50,,,17.6700000,20.1600000
2024-11-08 00:01:00,,,17.6750000,20.1600000
2024-11-08 00:01:10,,,17.6850000,20.1600000
2024-11-08 00:01:20,,,17.6800000,20.1550000
2024-11-08 00:01:30,,,17.6700000,20.1500000
2024-11-08 00:01:40,,,17.6633333,20.1500000
2024-11-08 00:01:50,,,17.6650000,20.1500000
2024-11-08 00:02:00,,,17.6700000,20.1550000
2024-11-08 00:02:10,,,17.6750000,20.1550000
2024-11-08 00:02:20,,,17.6700000,20.1500000
2024-11-08 00:02:30,,,17.6600000,20.1500000
2024-11-08 00:02:40,,,17.6650000,20.1450000
2024-11-08 00:02:50,,,17.6750000,20.1500000
2024-11-08 00:03:00,,,17.6750000,20.1450000
2024-11-08 00:03:10,,,17.6566667,20.1450000
2024-11-08 00:03:20,,,17.6750000,20.1450000
2024-11-08 00:03:30,,,17.6800000,20.1500000
2024-11-08 00:03:40,,,17.6800000,20.1400000
2024-11-08 00:03:50,,,17.6900000,20.1450000
2024-11-08 00:04:00,,,17.6900000,20.1500000
2024-11-08 00:04:10,,,17.7000000,20.1400000
2024-11-08 00:04:20,,,17.6850000,20.1400000
2024-11-08 00:04:30,,,17.6900000,20.1450000
2024-11-08 00:04:40,,,17.6850000,20.1400000
2024-11-08 00:04:50,,,17.6950000,20.1400000
2024-11-08 00:05:00,,,17.7000000,20.1350000
2024-11-08 00:05:10,,,17.7050000,20.1400000
2024-11-08 00:05:20,,,17.6950000,20.1500000
2024-11-08 00:05:30,,,17.7000000,20.1450000
2024-11-08 00:05:40,,,17.7200000,20.1400000
2024-11-08 00:05:50,,,17.7200000,20.1400000
2024-11-08 00:06:00,,,17.7133333,20.1400000
2024-11-08 00:06:10,,,17.6950000,20.1350000
2024-11-08 00:06:20,,,17.7150000,20.1400000
2024-11-08 00:06:30,,,17.7200000,20.1350000
2024-11-08 00:06:40,,,17.7200000,20.1400000
2024-11-08 00:06:50,,,17.7300000,20.1400000
2024-11-08 00:07:00,,,17.7550000,20.1400000
2024-11-08 00:07:10,,,17.7300000,20.1450000
2024-11-08 00:07:20,,,17.7500000,20.1450000
2024-11-08 00:07:30,,,17.7633333,20.1400000
2024-11-08 00:07:40,,,17.7450000,20.1500000
2024-11-08 00:07:50,,,17.7400000,20.1450000
